"category","subcategory","layer_name","description","geometry_type","source_provider","source_type","endpoint_url","ingestion_method","priority","region_scope","notes"
"archaeology","historical_settlements","dai_ayda_ancient_yemen_atlas","Ancient Yemen Digital Atlas feature layer from the DAI Sanaa branch","point","Deutsches Archaeologisches Institut","WFS","https://geoserver.dainst.org/geoserver/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=geonode:berarbeitet&outputFormat=application/json","postgis","medium","regional","Feature type geonode:berarbeitet"
"archaeology","unesco_sites","berlin_unesco_world_heritage","World Heritage sites in Berlin from the Berlin geodata service","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/welterbe?service=WFS&version=2.0.0&request=GetFeature&typeNames=welterbe:welterbe&outputFormat=application/json","postgis","high","regional","Feature type welterbe:welterbe"
"archaeology","unesco_sites","hessen_grube_messel_core_zone","UNESCO World Natural Heritage Fossil Site Messel core zone in Hessen","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Aweltnaturerbe_grubemessel/items?f=json","postgis","high","regional","OGC API Features collection denkx:weltnaturerbe_grubemessel"
"historical_maps","cadastral_maps","berlin_alkis_cadastre_wms","Official Berlin cadastral map from ALKIS for parcel context","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/alkis?service=WMS&request=GetCapabilities","tile","critical","regional","WMS layer a_alkis_raster"
"historical_maps","cadastral_maps","berlin_alkis_parcels_wfs","Official Berlin parcel geometries from ALKIS","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/alkis_flurstuecke?service=WFS&version=2.0.0&request=GetFeature&typeNames=alkis_flurstuecke:flurstuecke&outputFormat=application/json","postgis","critical","regional","Feature type alkis_flurstuecke:flurstuecke"
"historical_maps","military_maps","nrw_tranchot_1801_1828","Georeferenced Tranchot and von Mueffling maps for NRW from 1801 to 1828","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_tranchot?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_tranchot"
"historical_maps","military_maps","nrw_preussische_uraufnahme_1836_1850","Prussian first survey maps for NRW from 1836 to 1850","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_uraufnahme?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_uraufnahme_rw"
"historical_maps","military_maps","nrw_preussische_neuaufnahme_1891_1912","Prussian new survey maps for NRW from 1891 to 1912","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_neuaufnahme?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_neuaufnahme"
"historical_maps","military_maps","nrw_tk25_1936_1945","Historic topographic map TK25 for NRW from 1936 to 1945","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_tk25_1936-1945?SERVICE=WMS&REQUEST=GetCapabilities","tile","medium","regional","WMS layer nw_tk25_1936-1945"
"historical_maps","early_modern_maps","berlin_1650_urban_map","Georeferenced historical urban map of Berlin around 1650","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1650"
"historical_maps","early_modern_maps","berlin_1800_urban_map","Georeferenced historical urban map of Berlin around 1800","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1800"
"historical_maps","georeferenced_rasters","berlin_1850_urban_map","Georeferenced historical urban map of Berlin around 1850","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1850"
"historical_maps","georeferenced_rasters","berlin_1880_urban_map","Georeferenced historical urban map of Berlin around 1880","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1880"
"historical_maps","georeferenced_rasters","berlin_1910_urban_map","Georeferenced historical urban map of Berlin around 1910","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1910"
"historical_maps","georeferenced_rasters","berlin_1940_urban_map","Georeferenced historical urban map of Berlin around 1940","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer berlin_1940"
"historical_maps","georeferenced_rasters","berlin_1945_building_damage","Georeferenced Berlin building damage map from 1945","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","high","regional","WMS layer berlin_1945_gebaeudeschaeden"
"historical_maps","georeferenced_rasters","berlin_1992_1993_building_age","Georeferenced Berlin building age raster from 1992 and 1993","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/staedtebauliche_entwicklung?service=WMS&request=GetCapabilities","tile","low","regional","WMS layer gebaeudealter_1992_93"
"terrain","elevation_dem","berlin_dgm1_elevation_wms","Digital terrain model for Berlin at one metre resolution","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/dgm1?SERVICE=WMS&REQUEST=GetCapabilities","tile","critical","regional","WMS layer dgm1"
"terrain","elevation_dem","esri_world_elevation_terrain","Global terrain elevation service usable through Esri REST export and identify operations","raster","Esri","REST","https://elevation.arcgis.com/arcgis/rest/services/WorldElevation/Terrain/ImageServer","external","high","global","ArcGIS ImageServer terrain service"
"terrain","elevation_dem","mapzen_terrarium_dem_tiles","Global Terrarium encoded elevation tiles for client terrain sampling","raster","AWS Open Terrain Tiles","XYZ","https://s3.amazonaws.com/elevation-tiles-prod/terrarium/{z}/{x}/{y}.png","tile","high","global","Terrarium PNG elevation tiles"
"terrain","hillshade","esri_world_hillshade_tiles","Global hillshade map tiles for relief visualization","raster","Esri","XYZ","https://server.arcgisonline.com/ArcGIS/rest/services/Elevation/World_Hillshade/MapServer/tile/{z}/{y}/{x}","tile","critical","global","XYZ tile order z y x follows ArcGIS tile service"
"terrain","hillshade","nrw_dgm_hillshade_wms","NRW hillshade derived from the official digital terrain model","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_dgm-schummerung?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_dgm-schummerung_pan"
"terrain","slope","nrw_dgm_slope_wms","NRW terrain slope map from official elevation data","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_gelaendeneigung?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_gelaendeneigung_20"
"terrain","slope","esri_world_elevation_slope_degrees","Global slope raster generated from the Esri WorldElevation terrain ImageServer","raster","Esri","REST","https://elevation.arcgis.com/arcgis/rest/services/WorldElevation/Terrain/ImageServer","external","medium","global","Use ArcGIS raster function Slope_Degrees"
"terrain","lidar","nrw_ndom50_lidar_surface_height","Normalized digital surface model for NRW useful for lidar derived microrelief screening","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_ndom?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_ndom"
"hydrology","rivers","osm_rivers","Major rivers from OpenStreetMap waterway relations and ways","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags waterway=river or waterway=riverbank"
"hydrology","rivers","eea_european_main_rivers","European river network layer from the EEA WaterGlobal dynamic service","line","European Environment Agency","REST","https://water.discomap.eea.europa.eu/arcgis/rest/services/Water/WaterGlobal_Dyna_WGS84/MapServer/7","postgis","high","eu","ArcGIS REST layer for river lines"
"hydrology","rivers","berlin_atkis_water_axis","Official Berlin ATKIS water axes for stream and river centerlines","line","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:b15_ax_gewaesserachse_l&outputFormat=application/json","postgis","high","regional","Feature type atkis:b15_ax_gewaesserachse_l"
"hydrology","streams","osm_streams","Streams drains ditches and minor waterways from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags waterway=stream or waterway=ditch or waterway=drain"
"hydrology","streams","berlin_atkis_flowing_waters","Official Berlin ATKIS flowing water polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:c41_ax_fliessgewaesser_f&outputFormat=application/json","postgis","medium","regional","Feature type atkis:c41_ax_fliessgewaesser_f"
"hydrology","wetlands","osm_wetlands","Wetlands marshes reedbeds and bogs from OpenStreetMap","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags natural=wetland and wetland=*"
"hydrology","wetlands","berlin_atkis_moor","Official Berlin ATKIS moor polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:c39_ax_moor_f&outputFormat=application/json","postgis","medium","regional","Feature type atkis:c39_ax_moor_f"
"hydrology","wetlands","berlin_atkis_swamp","Official Berlin ATKIS swamp polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:c40_ax_sumpf_f&outputFormat=application/json","postgis","medium","regional","Feature type atkis:c40_ax_sumpf_f"
"hydrology","flood_zones","berlin_flood_zones","Official Berlin flood zone polygons from the environmental atlas","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/ua_uesg?service=WFS&version=2.0.0&request=GetFeature&typeNames=ua_uesg:c_ueberschwemmungsgebiete&outputFormat=application/json","postgis","critical","regional","Feature type ua_uesg:c_ueberschwemmungsgebiete"
"hydrology","flood_zones","eea_potential_flood_prone_area","Potential flood prone areas from the EEA flood service","polygon","European Environment Agency","REST","https://water.discomap.eea.europa.eu/arcgis/rest/services/Flood/Potential_flood_prone_area/MapServer/0","postgis","high","eu","ArcGIS REST layer 0"
"soil_geology","soil_types","isric_wrb_most_probable","Most probable World Reference Base soil group from SoilGrids","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/wrb.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","critical","global","WMS layer MostProbable"
"soil_geology","soil_types","isric_wrb_fluvisols_probability","Probability of Fluvisols for floodplain and ancient watercourse analysis","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/wrb.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","high","global","WMS layer Fluvisols"
"soil_geology","soil_types","bgr_soil_potential","Soil potential mapping from the German Federal Institute for Geosciences and Natural Resources","raster","BGR","REST","https://services.bgr.de/arcgis/rest/services/boden/bodenpotenziale/MapServer","external","medium","regional","ArcGIS REST soil potentials service"
"soil_geology","soil_types","bgr_soil_trace_elements","Soil trace element and substance mapping for geochemical screening","raster","BGR","REST","https://services.bgr.de/arcgis/rest/services/boden/bodenstoffe/MapServer","external","medium","regional","ArcGIS REST soil substances service"
"soil_geology","geology","bgr_guek250_geology","Geological map of Germany 1 to 250000 for bedrock and surface geology","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/guek250/MapServer","postgis","critical","regional","ArcGIS REST service GUEK250 with polygon layers"
"soil_geology","geology","bgr_guek250_faults","Fault and tectonic linework from the German geological map 1 to 250000","line","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/guek250/MapServer","postgis","high","regional","Use tectonic and fault line layers from GUEK250 service"
"soil_geology","geology","bgr_onegeology_surface_lithology","OneGeology surface geology from BGR for lithology context","polygon","BGR OneGeology","REST","https://services.bgr.de/arcgis/rest/services/geologie/BGR_EN_Surface_Geology/MapServer","postgis","medium","global","ArcGIS REST surface geology service"
"soil_geology","geology","bgr_igme5000_europe_geology","International Geological Map of Europe 1 to 5000000 for continental context","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/igme5000/MapServer","postgis","medium","eu","ArcGIS REST IGME5000 service"
"soil_geology","mineralisation","bgr_kor250_mineral_resources","Mineral resource map of Germany 1 to 250000 for raw material context","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/inspire_mr/kor250/MapServer","postgis","high","regional","INSPIRE Mineral Resources KOR250 REST service"
"soil_geology","mineralisation","bgr_geoscientific_mineral_sites","Mineral related geoscientific collection and occurrence records from BGR","point","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/gewis/MapServer","postgis","medium","regional","ArcGIS REST GEWIS service"
"soil_geology","mineralisation","soilgrids_ph_topsoil","Topsoil pH in water from SoilGrids for corrosion and preservation modelling","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/phh2o.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","medium","global","WMS layer phh2o_0-5cm_mean"
"soil_geology","mineralisation","soilgrids_clay_topsoil","Topsoil clay fraction from SoilGrids for soil texture and drainage inference","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/clay.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","medium","global","WMS layer clay_0-5cm_mean"
"legal_restrictions","protected_areas","berlin_nature_reserves","Official Berlin nature reserve polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/schutzgebiete?service=WFS&version=2.0.0&request=GetFeature&typeNames=schutzgebiete:h_nsg&outputFormat=application/json","postgis","critical","regional","Feature type schutzgebiete:h_nsg"
"legal_restrictions","protected_areas","berlin_landscape_protection","Official Berlin landscape protection area polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/schutzgebiete?service=WFS&version=2.0.0&request=GetFeature&typeNames=schutzgebiete:i_lsg&outputFormat=application/json","postgis","critical","regional","Feature type schutzgebiete:i_lsg"
"legal_restrictions","protected_areas","berlin_nature_park","Official Berlin nature park polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/schutzgebiete?service=WFS&version=2.0.0&request=GetFeature&typeNames=schutzgebiete:d_np&outputFormat=application/json","postgis","high","regional","Feature type schutzgebiete:d_np"
"legal_restrictions","protected_areas","unep_wcmc_wdpca_polygons","World Database on Protected Areas polygons for global restriction screening","polygon","UNEP WCMC IUCN","REST","https://data-gis.unep-wcmc.org/server/rest/services/ProtectedPlanet/WDPCA/MapServer/1","postgis","medium","global","ArcGIS REST protected area polygon layer"
"legal_restrictions","archaeological_protection","berlin_monument_list","Official Berlin monument list including protected cultural heritage","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/denkmale?service=WFS&version=2.0.0&request=GetFeature&typeNames=denkmale:denkmale&outputFormat=application/json","postgis","critical","regional","Feature type denkmale:denkmale"
"legal_restrictions","archaeological_protection","berlin_atkis_monument_protection","ATKIS monument protection legal area features for Berlin","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:c08_ax_denkmalschutzrecht_f&outputFormat=application/json","postgis","high","regional","Feature type atkis:c08_ax_denkmalschutzrecht_f"
"legal_restrictions","archaeological_protection","hessen_area_monuments","Protected area monuments from the Hessen DenkX service","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Aflaechendenkmal/items?f=json","postgis","critical","regional","OGC API Features collection denkx:flaechendenkmal"
"legal_restrictions","natura2000","berlin_ffh_areas","Official Berlin FFH Natura 2000 areas","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/schutzgebiete?service=WFS&version=2.0.0&request=GetFeature&typeNames=schutzgebiete:c_ffh&outputFormat=application/json","postgis","critical","regional","Feature type schutzgebiete:c_ffh"
"legal_restrictions","natura2000","berlin_spa_areas","Official Berlin SPA Natura 2000 bird protection areas","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/schutzgebiete?service=WFS&version=2.0.0&request=GetFeature&typeNames=schutzgebiete:b_spa&outputFormat=application/json","postgis","critical","regional","Feature type schutzgebiete:b_spa"
"legal_restrictions","natura2000","eea_natura2000_habitats_directive","Natura 2000 Habitats Directive sites from the EEA Bio service","polygon","European Environment Agency","REST","https://bio.discomap.eea.europa.eu/arcgis/rest/services/Bio/Natura2000_Dyna_WM/MapServer/1","postgis","high","eu","ArcGIS REST Natura 2000 layer 1"
"legal_restrictions","natura2000","eea_natura2000_birds_directive","Natura 2000 Birds Directive sites from the EEA Bio service","polygon","European Environment Agency","REST","https://bio.discomap.eea.europa.eu/arcgis/rest/services/Bio/Natura2000_Dyna_WM/MapServer/5","postgis","high","eu","ArcGIS REST Natura 2000 layer 5"
"legal_restrictions","land_use_zoning","berlin_fnp_2025_zoning","Official Berlin land use plan zoning from the 2025 republication","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/fnp_2025?service=WFS&version=2.0.0&request=GetFeature&typeNames=fnp_2025:fnp_2025_vektor&outputFormat=application/json","postgis","critical","regional","Feature type fnp_2025:fnp_2025_vektor"
"infrastructure","roads","osm_roads","Road network from OpenStreetMap for approach planning and access modelling","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags highway=* excluding highway=proposed"
"infrastructure","roads","osm_tracks_paths","Tracks paths service roads and field access ways from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags highway=track or highway=path or highway=service"
"infrastructure","roads","berlin_atkis_road_axis","Official Berlin ATKIS road axis linework","line","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:b08_ax_strassenachse_l&outputFormat=application/json","postgis","high","regional","Feature type atkis:b08_ax_strassenachse_l"
"infrastructure","railways","osm_railways","Railway infrastructure from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags railway=rail or railway=tram or railway=disused"
"infrastructure","railways","berlin_atkis_railway_line","Official Berlin ATKIS railway linework","line","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:b11_ax_bahnstrecke_l&outputFormat=application/json","postgis","high","regional","Feature type atkis:b11_ax_bahnstrecke_l"
"infrastructure","settlements_modern","osm_modern_settlements","Modern populated places and settlement polygons from OpenStreetMap","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags place=* or landuse=residential"
"infrastructure","settlements_modern","berlin_atkis_settlement_areas","Official Berlin ATKIS settlement area polygons","polygon","Senate Department Berlin","WFS","https://gdi.berlin.de/services/wfs/atkis?service=WFS&version=2.0.0&request=GetFeature&typeNames=atkis:c05_ax_ortslage_f&outputFormat=application/json","postgis","high","regional","Feature type atkis:c05_ax_ortslage_f"
"infrastructure","settlements_modern","natural_earth_populated_places","Global populated place points from Natural Earth for low zoom context","point","Natural Earth","FILE","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_populated_places.zip","postgis","medium","global","Downloadable shapefile ZIP"
"remote_sensing","satellite_imagery","sentinel2_eox_cloudless_2020","Sentinel 2 cloudless global mosaic served as WMTS tiles","raster","EOX","WMTS","https://tiles.maps.eox.at/wmts/1.0.0/WMTSCapabilities.xml","tile","high","global","WMTS layer s2cloudless-2020_3857"
"remote_sensing","satellite_imagery","nasa_gibs_modis_truecolor","MODIS Terra corrected reflectance true color imagery through NASA GIBS WMTS","raster","NASA GIBS","WMTS","https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/wmts.cgi?SERVICE=WMTS&REQUEST=GetCapabilities","tile","medium","global","WMTS layer MODIS_Terra_CorrectedReflectance_TrueColor"
"remote_sensing","satellite_imagery","copernicus_clc2018_land_cover","Copernicus CORINE Land Cover 2018 pan European land cover polygons","polygon","Copernicus Land Monitoring Service","REST","https://image.discomap.eea.europa.eu/arcgis/rest/services/Corine/CLC2018_WM/MapServer/0","postgis","critical","eu","ArcGIS REST layer 0"
"remote_sensing","satellite_imagery","eea_corine_change_2012_2018","CORINE land cover change between 2012 and 2018 for disturbance screening","polygon","Copernicus Land Monitoring Service","REST","https://image.discomap.eea.europa.eu/arcgis/rest/services/Corine/CHA2012_2018_WM/MapServer/0","postgis","medium","eu","ArcGIS REST layer 0"
"remote_sensing","aerial_photography","berlin_truedop_2025_wmts","Digital true orthophotos for Berlin 2025 summer as WMTS","raster","Senate Department Berlin","WMTS","https://gdi.berlin.de/services/wmts/truedop_2025_sommer?SERVICE=WMTS&REQUEST=GetCapabilities","tile","critical","regional","WMTS TrueDOP 2025 summer service"
"remote_sensing","aerial_photography","berlin_dop_2025_wmts","Digital orthophotos for Berlin 2025 spring as WMTS","raster","Senate Department Berlin","WMTS","https://gdi.berlin.de/services/wmts/dop_2025_fruehjahr?SERVICE=WMTS&REQUEST=GetCapabilities","tile","high","regional","WMTS DOP 2025 spring service"
"remote_sensing","aerial_photography","berlin_truedop_2020_wms","Digital true orthophotos for Berlin 2020 as WMS","raster","Senate Department Berlin","WMS","https://gdi.berlin.de/services/wms/truedop_2020_sommer?service=WMS&request=GetCapabilities","tile","medium","regional","WMS layer truedop_2020_sommer_rgb"
"remote_sensing","aerial_photography","nrw_historic_dop_wms","Historic digital orthophotos for NRW from Geobasis NRW","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_hist_dop?SERVICE=WMS&REQUEST=GetCapabilities","tile","medium","regional","WMS layer nw_hist_dop_1951"
"detection_intelligence","proximity_to_roads","derived_distance_to_osm_roads","Distance raster from roads tracks and paths for detecting access bias and survey effort","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from osm_roads and osm_tracks_paths with ST_Distance or raster distance transform"
"detection_intelligence","proximity_to_roads","derived_distance_to_roman_roads","Distance raster from Roman roads for historical movement corridor analysis","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","high","local","Derived from dai_barrington_atlas_roman_roads and osm_roman_roads"
"detection_intelligence","proximity_to_water","derived_distance_to_waterways","Distance raster from rivers streams wetlands and water axes","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from osm_rivers osm_streams berlin_atkis_water_axis and berlin_atkis_flowing_waters"
"detection_intelligence","proximity_to_water","derived_floodplain_edge_distance","Distance to flood zone boundaries and wetland edges for settlement suitability modelling","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","high","local","Derived from berlin_flood_zones eea_potential_flood_prone_area and osm_wetlands"
